t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
31,"(5, 6, 1)",0,1,3,9,35.0,2,6,32.5,36.90184324474275
32,"(9, 0, 0)",6,0,3,6,30.0,2,6,32.5,36.90184324474275
33,"(6, 6, 1)",0,0,2,10,20.0,2,6,32.5,36.90184324474275
34,"(10, 0, 0)",6,0,4,6,30.0,2,6,32.5,36.90184324474275
35,"(6, 6, 1)",0,0,6,6,0.0,2,6,32.5,36.90184324474275
36,"(6, 0, 0)",6,0,5,1,5.0,2,6,32.5,36.90184324474275
37,"(1, 6, 1)",0,5,3,9,115.0,2,6,32.5,36.90184324474275
38,"(9, 0, 0)",6,0,4,5,25.0,2,6,32.5,36.90184324474275
39,"(5, 6, 1)",0,1,4,8,30.0,2,6,32.5,36.90184324474275
40,"(8, 0, 0)",6,0,2,6,30.0,2,6,32.5,36.90184324474275
41,"(6, 6, 1)",0,0,6,6,0.0,2,6,32.5,36.90184324474275
42,"(6, 0, 0)",6,0,4,2,10.0,2,6,32.5,36.90184324474275
43,"(2, 6, 1)",0,4,5,7,85.0,2,6,32.5,36.90184324474275
44,"(7, 0, 0)",6,0,3,4,20.0,2,6,32.5,36.90184324474275
45,"(4, 6, 1)",0,2,3,9,55.0,2,6,32.5,36.90184324474275
46,"(9, 0, 0)",6,0,4,5,25.0,2,6,32.5,36.90184324474275
47,"(5, 6, 1)",0,1,5,7,25.0,2,6,32.5,36.90184324474275
48,"(7, 0, 0)",6,0,5,2,10.0,2,6,32.5,36.90184324474275
49,"(2, 6, 1)",0,4,3,9,95.0,2,6,32.5,36.90184324474275
