# iteration,run time [seconds],cost
70800,2101.85,16.880666365
70900,2104.81,16.880660799
71000,2107.78,16.880655248
71100,2110.74,16.880649713
71200,2113.70,16.880644194
71300,2116.65,16.880638690
71400,2119.61,16.880633202
71500,2122.57,16.880627729
71600,2125.53,16.880622271
71700,2128.48,16.880616828
71800,2131.44,16.880611401
71900,2134.40,16.880605988
72000,2137.36,16.880600591
72100,2140.32,16.880595209
72200,2143.29,16.880589841
72300,2146.24,16.880584489
72400,2149.18,16.880579151
72500,2152.14,16.880573828
72600,2155.08,16.880568519
72700,2158.03,16.880563226
72800,2160.97,16.880557946
72900,2163.91,16.880552681
73000,2166.85,16.880547431
73100,2169.80,16.880542195
73200,2172.75,16.880536973
73300,2175.70,16.880531766
73400,2178.65,16.880526573
73500,2181.60,16.880521394
73600,2184.56,16.880516229
73700,2187.52,16.880511078
73800,2190.48,16.880505940
73900,2193.43,16.880500817
74000,2196.39,16.880495708
74100,2199.34,16.880490612
74200,2202.30,16.880485531
74300,2205.26,16.880480463
74400,2208.22,16.880475408
74500,2211.19,16.880470367
74600,2214.16,16.880465340
74700,2217.12,16.880460326
74800,2220.09,16.880455325
74900,2223.05,16.880450338
75000,2226.01,16.880445364
75100,2228.96,16.880440403
75200,2231.93,16.880435456
75300,2234.90,16.880430522
75400,2237.86,16.880425600
75500,2240.82,16.880420692
75600,2243.78,16.880415797
75700,2246.74,16.880410915
75800,2249.69,16.880406045
75900,2252.64,16.880401189
76000,2255.59,16.880396345
76100,2258.56,16.880391514
76200,2261.52,16.880386696
76300,2264.48,16.880381890
76400,2267.44,16.880377097
76500,2270.40,16.880372316
76600,2273.35,16.880367548
76700,2276.31,16.880362792
76800,2279.27,16.880358049
76900,2282.23,16.880353318
77000,2285.19,16.880348599
77100,2288.15,16.880343893
77200,2291.10,16.880339199
77300,2294.07,16.880334516
77400,2297.03,16.880329846
77500,2300.02,16.880325188
77600,2303.00,16.880320542
77700,2305.96,16.880315908
77800,2308.91,16.880311286
77900,2311.86,16.880306676
78000,2314.82,16.880302078
78100,2317.78,16.880297491
78200,2320.74,16.880292916
78300,2323.70,16.880288353
78400,2326.66,16.880283801
78500,2329.63,16.880279261
78600,2332.58,16.880274733
78700,2335.53,16.880270216
78800,2338.50,16.880265711
78900,2341.46,16.880261216
79000,2344.43,16.880256734
79100,2347.39,16.880252262
79200,2350.36,16.880247802
79300,2353.33,16.880243354
79400,2356.32,16.880238916
79500,2359.30,16.880234490
79600,2362.28,16.880230074
79700,2365.26,16.880225670
79800,2368.26,16.880221277
79900,2371.18,16.880216895
80000,2374.12,16.880212524
80100,2377.06,16.880208163
80200,2380.01,16.880203814
80300,2382.95,16.880199475
80400,2385.88,16.880195147
80500,2388.82,16.880190830
80600,2391.77,16.880186524
80700,2394.71,16.880182228
80800,2397.66,16.880177943
80900,2400.60,16.880173669
81000,2403.55,16.880169405
81100,2406.49,16.880165151
81200,2409.43,16.880160909
81300,2412.37,16.880156676
81400,2415.34,16.880152454
81500,2418.31,16.880148242
81600,2421.25,16.880144041
81700,2424.19,16.880139850
81800,2427.14,16.880135669
81900,2430.08,16.880131498
82000,2433.03,16.880127338
82100,2435.98,16.880123188
82200,2438.94,16.880119047
82300,2441.89,16.880114917
82400,2444.84,16.880110797
82500,2447.79,16.880106687
82600,2450.74,16.880102587
82700,2453.68,16.880098496
82800,2456.62,16.880094416
82900,2459.57,16.880090345
83000,2462.51,16.880086284
83100,2465.45,16.880082233
83200,2468.39,16.880078192
83300,2471.33,16.880074161
83400,2474.29,16.880070139
83500,2477.22,16.880066127
83600,2480.15,16.880062124
83700,2483.08,16.880058131
83800,2486.04,16.880054147
83900,2488.99,16.880050173
84000,2491.95,16.880046209
84100,2494.89,16.880042253
84200,2497.82,16.880038308
84300,2500.75,16.880034371
84400,2503.69,16.880030444
84500,2506.61,16.880026526
84600,2509.55,16.880022618
84700,2512.48,16.880018718
84800,2515.42,16.880014828
84900,2518.34,16.880010947
85000,2521.27,16.880007076
85100,2524.20,16.880003213
85200,2527.14,16.879999359
85300,2530.06,16.879995515
85400,2532.97,16.879991679
85500,2535.90,16.879987852
85600,2538.83,16.879984035
85700,2541.77,16.879980226
85800,2544.71,16.879976426
85900,2547.64,16.879972635
86000,2550.58,16.879968853
86100,2553.52,16.879965079
86200,2556.44,16.879961315
86300,2559.39,16.879957559
86400,2562.32,16.879953811
86500,2565.26,16.879950073
86600,2568.20,16.879946343
86700,2571.15,16.879942621
86800,2574.09,16.879938909
86900,2577.02,16.879935204
87000,2579.94,16.879931509
87100,2582.87,16.879927821
87200,2585.80,16.879924142
87300,2588.73,16.879920472
87400,2591.67,16.879916810
87500,2594.64,16.879913156
87600,2597.60,16.879909511
87700,2600.54,16.879905874
87800,2603.49,16.879902246
87900,2606.44,16.879898625
88000,2609.38,16.879895013
